learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.581160705,1.1953403797478727E-7,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,1.098959428,2.260356849131816E-7,200.0,27.500000000000004,0.0,-93.33333333333333,-168.51851851851848,200.0,795056.0
300.0,1.486562566,3.057585013703588E-7,300.0,30.0,0.0,-74.99999999999999,-135.9550561797753,300.0,795056.0
400.0,1.877941352,3.862578989823328E-7,400.0,29.75,0.0,-86.0927152317881,-138.13559322033896,400.0,795056.0
500.0,2.215838658,4.557571425813685E-7,500.0,28.999999999999996,0.0,-87.83068783068784,-146.52777777777774,500.0,795056.0
600.0,2.52028263,5.183756523965547E-7,600.0,29.833333333333336,0.0,-80.68669527896996,-136.5168539325843,600.0,795056.0
700.0,2.875386035,5.914138732071759E-7,700.0,29.714285714285715,0.0,-76.97841726618705,-137.68115942028987,700.0,795056.0
800.0,3.259272115,6.703721593919107E-7,800.0,29.625,0.0,-77.602523659306,-138.55932203389827,800.0,795056.0
900.0,3.615803938,7.43704179439106E-7,900.0,29.555555555555557,0.0,-78.59154929577463,-139.24528301886795,900.0,795056.0
1000.0,3.959989353,8.144967710803078E-7,1000.0,29.9,0.0,-75.6892230576441,-135.23489932885903,1000.0,795056.0
1100.0,5.475692271,1.128469835847753E-6,1100.0,32.90909090909091,0.3593837452499492,-68.87871853546913,-128.48297213622294,1100.0,800720.0
1200.0,5.845900431,1.2051572850943979E-6,1200.0,36.083333333333336,1.1916264090177109,-61.4736842105263,-119.77077363896844,1200.0,800720.0
1300.0,6.220740455,1.2828042103164437E-6,1300.0,37.84615384615385,-0.5475360876057724,-55.684007707129076,-107.71208226221083,1300.0,800720.0
1400.0,6.602203758,1.3618231268316011E-6,1400.0,39.85714285714286,-1.0700322381507628,-47.97891036906852,-98.11764705882351,1400.0,800720.0
1500.0,7.062409008,1.4571531885796041E-6,1500.0,42.06666666666667,-0.11459222984805065,-44.112769485903804,-93.11111111111107,1500.0,800720.0
1600.0,7.573775034,1.563081043236653E-6,1600.0,43.625,-0.37096641828931626,-38.98305084745762,-87.13692946058089,1600.0,800720.0
1700.0,7.930923319,1.6370631806899814E-6,1700.0,45.41176470588235,0.48897658059535015,-35.08005822416301,-83.76237623762374,1700.0,800720.0
1800.0,8.349774464,1.7238268704046723E-6,1800.0,46.77777777777778,0.792440802819518,-31.774415405777173,-80.0751879699248,1800.0,800720.0
1900.0,8.720932037,1.8007109875509432E-6,1900.0,47.68421052631579,0.5015489010178467,-29.76501305483027,-77.18360071301245,1900.0,800720.0
2000.0,9.101607074,1.8795666172577605E-6,2000.0,48.949999999999996,0.7552708574316849,-26.517967781908315,-73.63945578231291,2000.0,800720.0
2100.0,10.465990361,2.162211241552995E-6,2100.0,50.33333333333333,1.5742370127243843,-24.019024970273506,-71.82866556836906,2100.0,800768.0
