learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.951548638,9.031477413404556E-6,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.7888824E7
200.0,4.677598993,2.1660226987078465E-5,200.0,60.5,20.999999999999996,60.30150753768844,20.999999999999996,200.0,1.7907248E7
300.0,7.160694602,3.317012538466183E-5,300.0,67.0,34.00000000000001,66.88963210702342,34.00000000000001,300.0,1.7917624E7
400.0,9.601118842,4.4489855675190466E-5,400.0,69.25,38.5,69.17293233082708,38.5,400.0,1.7929704E7
500.0,12.000126657,5.562607827201955E-5,500.0,70.19999999999999,40.39999999999999,70.14028056112224,40.39999999999999,500.0,1.794356E7
600.0,14.606909111,6.773254427847196E-5,600.0,72.33333333333334,44.66666666666668,72.28714524207011,44.66666666666668,600.0,1.7951944E7
700.0,17.044603228,7.905800035653356E-5,700.0,73.14285714285714,46.285714285714285,73.10443490701002,46.285714285714285,700.0,1.7958864E7
800.0,19.494851066,9.045078176613297E-5,800.0,73.625,47.24999999999999,73.59198998748435,47.24999999999999,800.0,1.7973064E7
900.0,21.966064412,1.0194539260660447E-4,900.0,74.55555555555556,49.11111111111111,74.52725250278085,49.11111111111111,900.0,1.7979864E7
1000.0,24.490589471,1.1369496848914495E-4,1000.0,75.1,50.2,75.07507507507508,50.2,1000.0,1.7990568E7
1100.0,27.280304116,1.2672342985320834E-4,1100.0,74.90909090909092,49.81818181818183,74.88626023657872,49.81818181818183,1100.0,1.8052432E7
1200.0,29.638065153,1.3773788513644797E-4,1200.0,74.33333333333333,48.66666666666666,74.31192660550458,48.66666666666666,1200.0,1.8057832E7
1300.0,32.088394323,1.4918901884389526E-4,1300.0,73.92307692307692,47.84615384615385,73.90300230946882,47.84615384615385,1300.0,1.806452E7
1400.0,34.360732924,1.5981057761849723E-4,1400.0,73.64285714285714,47.285714285714285,73.6240171551108,47.285714285714285,1400.0,1.8068312E7
1500.0,36.63681304,1.7045216430858917E-4,1500.0,73.33333333333333,46.66666666666666,73.31554369579719,46.66666666666666,1500.0,1.8072624E7
1600.0,38.934566034,1.8119700634313044E-4,1600.0,73.625,47.24999999999999,73.60850531582238,47.24999999999999,1600.0,1.8075864E7
1700.0,41.29586129,1.92241337800867E-4,1700.0,73.82352941176471,47.64705882352942,73.80812242495585,47.64705882352942,1700.0,1.8079712E7
1800.0,43.681881967,2.0340338492200126E-4,1800.0,73.72222222222223,47.44444444444444,73.7076153418566,47.44444444444444,1800.0,1.8083064E7
1900.0,45.982273208,2.1416702933601075E-4,1900.0,73.63157894736842,47.26315789473685,73.6176935229068,47.26315789473685,1900.0,1.8086728E7
2000.0,48.316679973,2.2509201781784185E-4,2000.0,73.5,47.0,73.48674337168585,47.0,2000.0,1.8090344E7
2100.0,50.673724335,2.3612496946762924E-4,2100.0,73.33333333333333,46.66666666666666,73.32062887089089,46.66666666666666,2100.0,1.8093656E7
2200.0,52.941713771,2.467431672502259E-4,2200.0,73.31818181818181,46.63636363636363,73.30604820372896,46.63636363636363,2200.0,1.8097232E7
2300.0,55.226938114,2.5744391354802417E-4,2300.0,73.26086956521739,46.52173913043478,73.24923879947804,46.52173913043478,2300.0,1.8100376E7
