learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.159056389,1.730783701945096E-8,100.0,52.0,2.399349328995533,4.0000000000000036,-6.666666666666673,100.0,420624.0
200.0,0.314311755,3.42258404349991E-8,200.0,51.5,2.1388216303470644,2.020202020202022,-3.1914893617021307,200.0,421216.0
300.0,0.388995392,4.236820601961058E-8,300.0,55.333333333333336,9.654800431499453,11.842105263157896,0.7407407407407333,300.0,421432.0
400.0,0.440519942,4.799056294011366E-8,400.0,58.5,13.799818252628851,19.024390243902438,4.046242774566465,400.0,421800.0
500.0,0.483744104,5.2709597178571334E-8,500.0,59.599999999999994,14.97600808148834,19.521912350597606,6.912442396313369,500.0,422016.0
600.0,0.527450928,5.74825928293065E-8,600.0,60.333333333333336,16.039510818438394,20.401337792642146,9.160305343511459,600.0,422128.0
700.0,0.569020525,6.202417175138162E-8,700.0,61.0,18.03770865858051,21.999999999999996,12.218649517684884,700.0,422312.0
800.0,0.619496081,6.754094196928044E-8,800.0,61.375,18.86782544767107,23.325062034739457,13.687150837988831,800.0,422480.0
900.0,0.699814599,7.633222445558757E-8,900.0,61.22222222222222,19.67573649754501,22.787610619469028,15.29126213592232,900.0,423096.0
1000.0,0.775351643,8.460499585710879E-8,1000.0,62.3,21.60532335204824,24.448897795591183,17.505470459518595,1000.0,423344.0
1100.0,1.164828172,1.2785994066174658E-7,1100.0,62.727272727272734,24.26990139974746,25.454545454545464,20.849420849420863,1100.0,429296.0
1200.0,1.262157273,1.3867648260813206E-7,1200.0,62.916666666666664,24.948982173275077,25.335570469798657,21.65492957746479,1200.0,429584.0
1300.0,1.330366512,1.462636028747509E-7,1300.0,61.61538461538461,22.39428060084317,23.34869431643625,18.72964169381108,1300.0,429968.0
1400.0,1.397521473,1.5374012385190775E-7,1400.0,60.285714285714285,19.731889662284082,21.579689703808185,15.372907153729079,1400.0,430352.0
1500.0,1.46457473,1.6121392585755637E-7,1500.0,59.66666666666667,18.815484369632422,20.499342969776613,14.668547249647396,1500.0,430848.0
1600.0,1.515715616,1.6691772268994403E-7,1600.0,58.62500000000001,16.775621039927593,17.967781908302367,11.733333333333345,1600.0,431120.0
1700.0,1.581120834,1.742151427412654E-7,1700.0,57.88235294117647,15.502265861027206,16.060961313012903,10.275689223057642,1700.0,431280.0
1800.0,1.639543043,1.8073550689486375E-7,1800.0,57.72222222222222,15.38803646875695,15.818584070796456,10.994152046783615,1800.0,431416.0
1900.0,1.700749859,1.8756817451762866E-7,1900.0,56.99999999999999,14.082632991206237,14.539748953974883,9.32297447280799,1900.0,431512.0
2000.0,1.749152454,1.929741801190687E-7,2000.0,56.85,13.872083577013125,13.958125623130607,9.633507853403149,2000.0,431728.0
2100.0,1.79363187,1.9793851427677402E-7,2100.0,56.095238095238095,12.261860418326313,12.357414448669203,8.622398414271567,2100.0,431424.0
2200.0,1.838815733,2.0298231316597516E-7,2200.0,55.63636363636364,11.27910637830173,12.072072072072073,7.312440645773985,2200.0,431496.0
2300.0,1.891496741,2.088640960739181E-7,2300.0,54.78260869565217,9.508288011815361,10.189982728842821,5.967450271247732,2300.0,431576.0
2400.0,1.940659668,2.1435553063545588E-7,2400.0,54.333333333333336,8.560304520883676,9.045643153526969,5.272255834053582,2400.0,431768.0
2500.0,2.011769832,2.2231154095772865E-7,2500.0,53.879999999999995,7.6182198343441545,7.907348242811494,4.710743801652879,2500.0,432480.0
2600.0,2.07406998,2.2928482681549056E-7,2600.0,53.61538461538462,7.100600130834215,7.087827426810492,4.739336492891002,2600.0,432664.0
2700.0,2.117047769,2.3409757531224652E-7,2700.0,53.44444444444445,6.722140319979436,6.8888888888889,4.337899543379012,2700.0,432864.0
2800.0,2.155088782,2.3835953961877572E-7,2800.0,53.42857142857142,6.575295777516551,6.657122405153887,3.763837638376366,2800.0,433072.0
2900.0,2.19587249,2.4292920663236954E-7,2900.0,53.41379310344827,6.489659182147883,7.0839064649243335,3.706343549536696,2900.0,433112.0
3000.0,2.233904921,2.4719139012768867E-7,3000.0,53.56666666666666,6.7229141556180485,7.564698075646977,3.864734299516896,3000.0,433192.0
3100.0,2.273783639,2.516599864169831E-7,3100.0,53.48387096774193,6.508749511127464,7.445442875481374,3.6740146960587765,3100.0,433144.0
3200.0,2.312599414,2.560097963204794E-7,3200.0,53.75,6.956275736334206,7.960199004975122,4.020752269779513,3200.0,433176.0
3300.0,2.372639235,2.6273853227357486E-7,3300.0,53.939393939393945,7.310667810377152,8.378541289933706,4.462602137020758,3300.0,433208.0
3400.0,2.410386931,2.669691188402019E-7,3400.0,53.852941176470594,7.189095823526722,8.245614035087726,4.678007290400983,3400.0,433224.0
3500.0,2.444533633,2.7079626405327685E-7,3500.0,53.88571428571428,7.1577145381585074,8.086560364464685,4.497041420118337,3500.0,433240.0
3600.0,2.478948548,2.7465361289531617E-7,3600.0,53.94444444444444,7.332425826195808,8.042151968940647,4.93119266055045,3600.0,433256.0
3700.0,2.513049958,2.784759641096679E-7,3700.0,54.0,7.452720411514583,8.543793659322956,5.181058495821742,3700.0,433272.0
3800.0,2.548335559,2.824312677417261E-7,3800.0,54.10526315789473,7.77058433859017,8.547456738332448,5.8315334773218055,3800.0,433296.0
3900.0,2.582723187,2.862862698458777E-7,3900.0,54.205128205128204,7.959287174053863,8.45720143516146,6.049447659126777,3900.0,433336.0
4000.0,2.617503298,2.901854149572345E-7,4000.0,54.425000000000004,8.361613217643454,8.575727181544647,6.416837782340863,4000.0,433352.0
4100.0,2.664096848,2.954090430980135E-7,4100.0,54.53658536585366,8.618098648068248,8.984375000000009,6.800000000000006,4100.0,433360.0
4200.0,2.697684339,2.9917462442883816E-7,4200.0,54.64285714285714,8.802678677676447,9.025787965616033,6.982421874999989,4200.0,433368.0
