learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,7.993591088,9.705623163938853E-7,10000.0,69.46,38.917263493404505,38.56366928183464,38.265615524560346,10000.0,469336.0
20000.0,15.983664315,1.9406975026927577E-6,20000.0,72.31,44.61944176397297,43.884892086330936,43.91330767672675,20000.0,469336.0
30000.0,24.007780898,2.914966150172398E-6,30000.0,73.45666666666666,46.91303651822196,46.61079450217902,46.60005364806867,30000.0,469336.0
40000.0,32.030636141,3.889081648828352E-6,40000.0,73.7375,47.47452333129923,47.20574932153985,47.18717007691921,40000.0,469336.0
50000.0,40.079386037,4.866341213038975E-6,50000.0,74.11999999999999,48.23972173674406,48.01542664309817,47.87722548940626,50000.0,469336.0
60000.0,48.057777266,5.835057999658133E-6,60000.0,74.405,48.80983789782001,48.70227477703177,48.4595247684253,60000.0,469336.0
70000.0,56.061054619,6.806796398702746E-6,70000.0,74.71857142857142,49.437260245250485,49.287904404390055,49.24427108727449,70000.0,469336.0
80000.0,64.04534075,7.776228929932436E-6,80000.0,74.86749999999999,49.735017561328235,49.654447115384606,49.61281106683708,80000.0,469336.0
90000.0,72.033674094,8.746152863884754E-6,90000.0,75.03777777777778,50.07561630305257,50.018910320585555,49.966593915638505,90000.0,469336.0
100000.0,79.991606879,9.71238563617545E-6,100000.0,75.074,50.148053780279575,50.105090377724835,50.065108079411814,100000.0,469336.0
