learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.047995574,6.14864551069008E-11,10000.0,76.92999999999999,53.830425617433505,52.96636085626911,52.879901960784316,10000.0,4952.0
20000.0,0.089594019,1.1477763818576932E-10,20000.0,75.18,50.344793589588875,50.045285297373454,49.76725359239021,20000.0,4952.0
30000.0,0.132272136,1.6945197388529777E-10,30000.0,74.86,49.70384152081926,49.66295134485751,49.092136348295654,30000.0,4952.0
40000.0,0.175242374,2.2450054169115094E-10,40000.0,76.755,53.50340492295427,53.60279441117763,53.168127329505374,40000.0,4952.0
50000.0,0.230391407,2.951511925562388E-10,50000.0,77.872,55.7363217744984,55.77760901714696,55.340276095906994,50000.0,4952.0
60000.0,0.28537173,3.6558571141213177E-10,60000.0,77.66,55.31555702583507,55.224478888295025,55.042763709542164,60000.0,4952.0
70000.0,0.341135979,4.370245068458219E-10,70000.0,77.68714285714286,55.371208841480744,55.27973429536735,55.175778447409954,70000.0,4952.0
80000.0,0.398332668,5.102983810255925E-10,80000.0,77.62125,55.23977969761113,55.066134578219504,55.03001682951947,80000.0,4952.0
90000.0,0.45479635,5.826332102426224E-10,90000.0,77.49888888888889,54.995203370062995,54.78779219039538,54.798892906566664,90000.0,4952.0
100000.0,0.50591144,6.481160334414907E-10,100000.0,77.288,54.57440298137073,54.34865630841591,54.441145791542965,100000.0,4952.0
