learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,45.090672623,3.33045148504451E-4,1000.0,94.69999999999999,85.74103568507596,17.187499999999854,79.37743190661477,1000.0,2.8550832E7
2000.0,91.690859934,6.779962614761523E-4,2000.0,74.85000000000001,43.60379592422504,-50.59880239520952,37.747524752475265,2000.0,2.8613584E7
3000.0,138.371011192,0.0010240288163199471,3000.0,68.36666666666666,38.81582510309114,-106.75381263616556,31.331403762662802,3000.0,2.865412E7
4000.0,186.291142004,0.0013794633955051877,4000.0,68.15,39.884265414271255,-138.13084112149528,22.174709835064142,4000.0,2.867108E7
5000.0,233.217584759,0.0017279766422556514,5000.0,68.89999999999999,41.14857989063247,-163.113367174281,15.443175638934193,5000.0,2.8708072E7
6000.0,281.630378375,0.0020877587663600456,6000.0,71.05,43.63528710092843,-164.3835616438355,12.581781580271786,6000.0,2.872644E7
7000.0,331.438123077,0.002458114941781484,7000.0,72.31428571428572,44.44584132936198,-158.74499332443258,14.962702939885943,7000.0,2.8742536E7
8000.0,377.250982459,0.0027988725771448124,8000.0,74.52499999999999,46.76768790820064,-168.51119894598148,12.868747327917918,8000.0,2.8751504E7
9000.0,423.146239435,0.00314044521693105,9000.0,76.2,48.00198756589907,-180.0000000000001,8.889834113143355,9000.0,2.8768528E7
9324.0,440.150447131,0.0032670192122864934,9324.0,76.43715143715144,47.98506385613865,-180.94629156010225,7.959782153330544,9324.0,2.8773352E7
