learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.557743643,1.1471758023033953E-7,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,1.050723716,2.161144886238542E-7,200.0,27.500000000000004,0.0,-93.33333333333333,-168.51851851851848,200.0,795056.0
300.0,1.40987792,2.899858840750323E-7,300.0,30.0,0.0,-74.99999999999999,-135.9550561797753,300.0,795056.0
400.0,1.819326862,3.7420197948665254E-7,400.0,29.75,0.0,-86.0927152317881,-138.13559322033896,400.0,795056.0
500.0,2.099375581,4.318028357106406E-7,500.0,28.999999999999996,0.0,-87.83068783068784,-146.52777777777774,500.0,795056.0
600.0,3.33241549,7.027132244788565E-7,600.0,29.833333333333336,0.0,-80.68669527896996,-136.5168539325843,600.0,849280.0
700.0,3.704587616,7.844829179068033E-7,700.0,29.714285714285715,0.0,-76.97841726618705,-137.68115942028987,700.0,849280.0
800.0,4.198588851,8.930196048777591E-7,800.0,29.625,0.0,-77.602523659306,-138.55932203389827,800.0,849280.0
900.0,4.563543102,9.73203463728854E-7,900.0,29.555555555555557,0.0,-78.59154929577463,-139.24528301886795,900.0,849280.0
1000.0,4.955784157,1.0593824883697387E-6,1000.0,29.9,0.0,-75.6892230576441,-135.23489932885903,1000.0,849280.0
1100.0,5.783697852,1.241282862673828E-6,1100.0,29.454545454545457,0.0,-77.57437070938217,-140.2476780185759,1100.0,849280.0
1200.0,6.126256876,1.3165462809058981E-6,1200.0,29.166666666666668,0.0,-78.94736842105262,-143.5530085959885,1200.0,849280.0
1300.0,6.480737003,1.3944288768504684E-6,1300.0,30.0,0.0,-75.33718689788053,-133.93316195372756,1300.0,849280.0
1400.0,6.845216732,1.474508478784524E-6,1400.0,30.428571428571427,0.0,-71.1775043936731,-129.17647058823528,1400.0,849280.0
1500.0,7.195071246,1.5513747843341321E-6,1500.0,30.06666666666667,0.0,-73.96351575456052,-133.11111111111106,1500.0,849280.0
1600.0,8.35582669,1.8064036007605948E-6,1600.0,30.1875,0.0,-72.11093990755008,-131.7427385892116,1600.0,849280.0
1700.0,8.685502964,1.878836558449231E-6,1700.0,29.764705882352942,0.0,-73.79912663755455,-136.43564356435638,1700.0,849280.0
1800.0,9.023209921,1.9530339322266936E-6,1800.0,29.61111111111111,0.0,-74.27785419532327,-138.1578947368421,1800.0,849280.0
1900.0,9.311365699,2.0163444490023415E-6,1900.0,29.578947368421055,0.0,-74.67362924281981,-138.50267379679138,1900.0,849280.0
2000.0,9.722036442,2.1065726482924116E-6,2000.0,29.45,0.0,-74.84510532837672,-139.9659863945578,2000.0,849280.0
2100.0,11.231416485,2.4381975464514186E-6,2100.0,28.952380952380953,0.0,-77.40784780023785,-145.79901153212523,2100.0,849280.0
2200.0,11.603931469,2.520042568985418E-6,2200.0,29.272727272727273,0.0,-76.61748013620883,-141.99066874027997,2200.0,849280.0
2300.0,11.979566575,2.6025731114753043E-6,2300.0,29.304347826086957,0.0,-76.7391304347826,-141.6047548291233,2300.0,849280.0
2400.0,12.350226641,2.684010591193499E-6,2400.0,29.375,0.0,-76.37877211238295,-140.76704545454547,2400.0,849280.0
2500.0,12.727530597,2.7669077956210858E-6,2500.0,29.360000000000003,0.0,-75.8964143426295,-140.9276944065484,2500.0,849280.0
2600.0,14.261089745,3.103845069063169E-6,2600.0,29.46153846153846,0.0,-73.67424242424241,-139.7385620915033,2600.0,849280.0
2700.0,14.630194643,3.184940863841238E-6,2700.0,29.40740740740741,0.0,-72.17705510388436,-140.3530895334174,2700.0,849280.0
2800.0,14.898032902,3.243787431858277E-6,2800.0,29.32142857142857,0.0,-73.44434706397898,-141.34146341463418,2800.0,849280.0
2900.0,15.254762929,3.3221643518545187E-6,2900.0,29.24137931034483,0.0,-72.87278854254421,-142.2668240850059,2900.0,849280.0
3000.0,15.61500669,3.4013132720407137E-6,3000.0,29.2,0.0,-71.98380566801622,-142.74285714285716,3000.0,849280.0
3100.0,17.491063813,3.8135005506791625E-6,3100.0,29.419354838709676,0.0,-71.33907595927954,-140.17563117453352,3100.0,849280.0
3200.0,17.792484265,3.879725440269505E-6,3200.0,29.531249999999996,0.0,-70.70401211203632,-138.87711864406776,3200.0,849280.0
3300.0,18.143076814,3.956753899004355E-6,3300.0,29.757575757575754,0.0,-69.69253294289898,-136.28950050968402,3300.0,849280.0
3400.0,18.46874415,4.028306055557358E-6,3400.0,29.470588235294116,0.0,-72.14644651830584,-139.56043956043956,3400.0,849280.0
3500.0,18.776304294,4.095879892845579E-6,3500.0,29.714285714285715,0.0,-70.59639389736475,-136.76612127045237,3500.0,849280.0
3600.0,20.673939483,4.512808074196307E-6,3600.0,29.916666666666668,0.0,-70.47297297297297,-134.47955390334573,3600.0,849280.0
3700.0,20.989345339,4.5821056877164E-6,3700.0,29.81081081081081,0.0,-71.64573694646396,-135.6624319419238,3700.0,849280.0
3800.0,21.366227485,4.664910216545855E-6,3800.0,29.68421052631579,0.0,-71.83279742765272,-137.08961845607809,3800.0,849280.0
3900.0,21.732925447,4.745477184995805E-6,3900.0,29.641025641025642,0.0,-71.82216656230432,-137.57575757575762,3900.0,849280.0
4000.0,22.107979224,4.827880004072813E-6,4000.0,29.925,0.0,-70.3951367781155,-134.36454849498324,4000.0,849280.0
4100.0,24.487672904,5.3507209399520965E-6,4100.0,29.926829268292682,0.0,-70.50445103857565,-134.33931484502443,4100.0,849280.0
4200.0,24.792487054,5.417691456701651E-6,4200.0,29.928571428571427,0.0,-71.20418848167542,-134.31528662420388,4200.0,849280.0
4300.0,25.110367156,5.487532685185765E-6,4300.0,30.023255813953487,0.0,-70.67498581962562,-133.25581395348834,4300.0,849280.0
4400.0,25.524336777,5.578485678795107E-6,4400.0,29.954545454545457,0.0,-70.37037037037037,-134.0167046317388,4400.0,849280.0
4500.0,25.9229443,5.666063475939924E-6,4500.0,30.0,0.0,-69.90291262135922,-133.50630096367678,4500.0,849280.0
4600.0,28.612859035,6.257062876116032E-6,4600.0,29.84782608695652,0.0,-70.29023746701847,-135.2040816326531,4600.0,849280.0
4700.0,28.986934145,6.339250672909082E-6,4700.0,29.744680851063833,0.0,-70.82255561303671,-136.36363636363632,4700.0,849280.0
4800.0,29.361424493,6.421529701370459E-6,4800.0,29.770833333333336,0.0,-70.33855482566955,-136.06442577030813,4800.0,849280.0
4900.0,29.753181433,6.507602361422573E-6,4900.0,29.591836734693878,0.0,-71.81274900398405,-138.0952380952381,4900.0,849280.0
5000.0,30.163119013,6.597669477951322E-6,5000.0,29.599999999999998,0.0,-70.790878214459,-137.99864773495608,5000.0,849280.0
5100.0,33.519198614,7.335031523419381E-6,5100.0,29.843137254901958,0.0,-69.33270231897777,-135.23997370151218,5100.0,849280.0
5200.0,33.921483165,7.423417197971669E-6,5200.0,29.96153846153846,0.0,-68.68920796665124,-133.91136801541427,5200.0,849280.0
5300.0,34.341632683,7.51572797269304E-6,5300.0,30.245283018867923,0.0,-66.98283649503162,-130.77403245942574,5300.0,849280.0
5400.0,34.712951912,7.5973102766811455E-6,5400.0,30.5,0.0,-65.5491839435377,-128.0072904009721,5400.0,849280.0
5500.0,35.079464848,7.677836593190127E-6,5500.0,30.636363636363633,0.0,-65.15151515151514,-126.54394299287408,5500.0,849280.0
5600.0,38.179910904,8.359033560340232E-6,5600.0,30.892857142857146,0.0,-64.61080391322841,-123.82880277617122,5600.0,849280.0
5700.0,38.559492717,8.442431231233603E-6,5700.0,30.982456140350877,0.0,-63.848396501457714,-122.88951841359777,5700.0,849280.0
5800.0,38.973155626,8.533316837350819E-6,5800.0,31.120689655172413,0.0,-63.06122448979592,-121.45232815964526,5800.0,849280.0
5900.0,39.305442698,8.606323411753734E-6,5900.0,31.35593220338983,0.0,-61.93522590963614,-119.03731746890212,5900.0,849280.0
6000.0,39.632561072,8.678194374912938E-6,6000.0,31.55,0.0,-60.995687965503706,-117.07188160676532,6000.0,849280.0
6100.0,42.83377477,9.381530934520855E-6,6100.0,31.639344262295083,0.0,-60.569888332691576,-116.17418351477447,6100.0,849280.0
6200.0,43.265244159,9.476328790666787E-6,6200.0,31.758064516129032,0.0,-59.53996983408749,-114.98983739837401,6200.0,849280.0
6300.0,43.696798032,9.571145208736884E-6,6300.0,32.03174603174603,0.0,-58.76900259547646,-112.29548834903318,6300.0,849280.0
6400.0,44.10432467,9.660682618781886E-6,6400.0,32.234375,0.0,-57.42286751361163,-110.32977691561594,6400.0,849280.0
6500.0,44.501513977,9.747948820620571E-6,6500.0,32.353846153846156,0.0,-57.20414730067931,-109.18173168411036,6500.0,849280.0
6600.0,48.233690254,1.0567942819820141E-5,6600.0,32.59090909090909,0.0,-55.50506815798671,-106.9302325581395,6600.0,849280.0
6700.0,48.673815463,1.0664642440494691E-5,6700.0,32.626865671641795,0.0,-55.1735991749742,-106.59038901601834,6700.0,849280.0
6800.0,49.022671726,1.074128942097256E-5,6800.0,32.76470588235294,0.0,-54.40729483282676,-105.29860799281545,6800.0,849280.0
6900.0,49.436492109,1.0832209625598917E-5,6900.0,32.869565217391305,0.0,-54.09181636726548,-104.32289369210407,6900.0,849280.0
7000.0,49.826363694,1.0917868055541941E-5,7000.0,33.02857142857143,0.0,-53.35296041871115,-102.85590653396794,7000.0,849280.0
7100.0,53.129078483,1.1643505353205861E-5,7100.0,33.028169014084504,0.0,-53.23880116016757,-102.85836177474404,7100.0,849280.0
7200.0,53.533231491,1.1732301545218754E-5,7200.0,33.263888888888886,0.0,-52.39454487789409,-100.71010860484544,7200.0,849280.0
7300.0,53.885952587,1.1809797665617328E-5,7300.0,33.42465753424658,0.0,-51.6380655226209,-99.2619926199262,7300.0,849280.0
7400.0,54.312714167,1.190356117213911E-5,7400.0,33.56756756756757,0.0,-50.982800982801,-97.98630688683046,7400.0,849280.0
7500.0,54.723339766,1.1993779452870583E-5,7500.0,33.6,0.0,-50.954834798423775,-97.69749900754267,7500.0,849280.0
7600.0,58.324204869,1.2784923160252103E-5,7600.0,33.75,0.0,-49.98510574918082,-96.37285491419658,7600.0,849280.0
7700.0,58.790237595,1.288731490447534E-5,7700.0,33.87012987012987,0.0,-49.150556531927336,-95.32029152282318,7700.0,849280.0
7800.0,59.168359591,1.2970391839934185E-5,7800.0,33.98717948717949,0.0,-48.7720312048541,-94.30188679245283,7800.0,849280.0
7900.0,59.58547463,1.3062035911266964E-5,7900.0,33.98734177215189,0.0,-48.32195676905576,-94.29955290611029,7900.0,849280.0
8000.0,59.95546624,1.314332652495632E-5,8000.0,34.1,0.0,-47.840717891194615,-93.3259992665933,8000.0,849280.0
8100.0,63.981832305,1.4027956769306588E-5,8100.0,34.25925925925926,0.0,-47.221454243848505,-91.96106705118959,8100.0,849280.0
8200.0,64.362266896,1.4111541803494389E-5,8200.0,34.40243902439024,0.0,-46.566757493188035,-90.74468085106385,8200.0,849280.0
8300.0,64.781035445,1.420354916642354E-5,8300.0,34.6144578313253,0.0,-46.04413347685683,-88.96239554317546,8300.0,849280.0
8400.0,65.165508882,1.4288021572814015E-5,8400.0,34.67857142857143,0.0,-45.737051792828694,-88.42719780219778,8400.0,849280.0
8500.0,65.565277196,1.4375854406587244E-5,8500.0,34.87058823529412,0.0,-44.84563055991627,-86.83766452919338,8500.0,849280.0
8600.0,69.810685213,1.5308610214384193E-5,8600.0,35.0,0.0,-44.55650374967674,-85.77600531738119,8600.0,849280.0
8700.0,70.192948107,1.5392596943823624E-5,8700.0,34.97701149425288,0.0,-44.79140005119018,-85.9631821170283,8700.0,849280.0
8800.0,70.590414878,1.5479924107095562E-5,8800.0,35.04545454545455,0.0,-44.52591656131478,-85.4038274408044,8800.0,849280.0
8900.0,70.990383447,1.556780093876335E-5,8900.0,35.12359550561798,0.0,-44.061876247505,-84.76799999999999,8900.0,849280.0
9000.0,71.38830668,1.5655228391001585E-5,9000.0,35.333333333333336,0.0,-43.597335307179854,-83.07643913180246,9000.0,849280.0
9100.0,76.245931055,1.672249385282145E-5,9100.0,35.42857142857142,0.0,-43.35203708221517,-82.31461371393114,9100.0,849280.0
9200.0,76.640596915,1.680920562977671E-5,9200.0,35.54347826086956,0.0,-43.0984555984556,-81.40104007341692,9200.0,849280.0
9300.0,77.03996742,1.689695106119576E-5,9300.0,35.612903225806456,0.0,-42.91169451073984,-80.85170643310175,9300.0,849280.0
9400.0,77.469083107,1.6991231787020757E-5,9400.0,35.648936170212764,0.0,-42.59783121169261,-80.56716417910447,9400.0,849280.0
9500.0,77.887517088,1.7083165642234313E-5,9500.0,35.73684210526316,0.0,-42.2082459818309,-79.87625220978197,9500.0,849280.0
9600.0,82.650781307,1.8132222964331434E-5,9600.0,35.66666666666667,0.0,-42.3369439963125,-80.42652643879636,9600.0,851328.0
9700.0,83.035146538,1.821687524087988E-5,9700.0,35.63917525773196,0.0,-42.63193968471556,-80.64236111111113,9700.0,851328.0
9800.0,83.449402638,1.830811065738164E-5,9800.0,35.76530612244898,0.0,-42.16350496838302,-79.65182648401829,9800.0,851328.0
9900.0,83.77936177,1.8380780580254422E-5,9900.0,35.75757575757576,0.0,-42.31371671514881,-79.71178298954504,9900.0,851328.0
10000.0,84.195566981,1.8472445267330336E-5,10000.0,35.88,0.0,-41.88979862801506,-78.75662113186506,10000.0,851328.0
