learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.02542977,4.2982592266052963E-10,100.0,56.99999999999999,26.066024759284723,34.84848484848484,-30.303030303030333,100.0,65336.0
200.0,0.060099567,1.0174096856328348E-9,200.0,67.0,39.03002309468823,50.37593984962406,1.4925373134328375,200.0,65512.0
300.0,0.076515947,1.2957364407326611E-9,300.0,77.0,54.70459518599563,65.5,31.00000000000001,300.0,65536.0
400.0,0.091788754,1.5556862970006961E-9,400.0,71.5,40.0898652021967,57.14285714285713,14.285714285714283,400.0,65792.0
500.0,0.104793126,1.7770802250814933E-9,500.0,71.39999999999999,36.9533013544018,56.92771084337349,13.855421686746968,500.0,65808.0
600.0,0.121595126,2.0632662562508547E-9,600.0,71.66666666666667,35.76826196473552,57.39348370927318,15.00000000000001,600.0,65840.0
700.0,0.133581294,2.2677722118277516E-9,700.0,69.85714285714286,29.96548061603825,54.623655913978496,9.829059829059847,700.0,65952.0
800.0,0.143305889,2.4338526029450196E-9,800.0,69.625,27.855711422845697,54.3233082706767,8.988764044943828,800.0,66016.0
900.0,0.151888042,2.5804574514780605E-9,900.0,68.44444444444444,24.333925399644745,52.508361204013376,5.333333333333334,900.0,66032.0
1000.0,0.157855343,2.6824310735985635E-9,1000.0,68.5,23.634882615905287,52.560240963855435,5.405405405405411,1000.0,66056.0
1100.0,0.163956344,2.7867020861804483E-9,1100.0,69.36363636363636,25.328337764885987,53.83561643835616,7.923497267759563,1100.0,66064.0
1200.0,0.170111601,2.891951333247125E-9,1200.0,69.91666666666667,26.67569397427218,54.7051442910916,9.750000000000023,1200.0,66096.0
1300.0,0.175844919,2.990057004801929E-9,1300.0,70.38461538461539,27.69765049867677,55.439814814814824,11.085450346420332,1300.0,66144.0
1400.0,0.181507625,3.0869895578175783E-9,1400.0,71.21428571428572,29.8129506426556,56.713211600429645,13.704496788008566,1400.0,66168.0
1500.0,0.18806093,3.1991806880384682E-9,1500.0,72.13333333333334,31.995661605206088,58.116232464929865,16.400000000000023,1500.0,66176.0
